size_x,size_y,Ntasks,Niterations,total_time,comm_time,comp_time,slurm_job_id,slurm_job_name,partition,nodes,cpus_per_task,tasks_per_node,ntasks,omp_threads
16384,16384,16,500,0.388233,0.204343,0.200258,21789091,strong_scaling_16n_16mpi_112omp,n/a,16,112,1(x16),16,112
16384,16384,8,500,1.420875,0.932720,0.885907,21789090,strong_scaling_8n_8mpi_112omp,n/a,8,112,1(x8),8,112
16384,16384,4,500,1.643819,0.257860,1.390917,21789089,strong_scaling_4n_4mpi_112omp,n/a,4,112,1(x4),4,112
16384,16384,2,500,3.523861,0.540290,2.995044,21789088,strong_scaling_2n_2mpi_112omp,n/a,2,112,1(x2),2,112
16384,16384,1,500,6.415251,0.000060,6.414812,21789087,strong_scaling_1n_1mpi_112omp,n/a,1,112,1,1,112
16384,16384,16,500,0.454976,0.266875,0.201173,21789104,strong_scaling_16n_16mpi_112omp,n/a,16,112,1(x16),16,112
16384,16384,8,500,0.814176,0.323505,0.515905,21789103,strong_scaling_8n_8mpi_112omp,n/a,8,112,1(x8),8,112
16384,16384,2,500,3.541826,0.546366,3.004145,21789101,strong_scaling_2n_2mpi_112omp,n/a,2,112,1(x2),2,112
16384,16384,4,500,2.089610,0.702787,1.671217,21789102,strong_scaling_4n_4mpi_112omp,n/a,4,112,1(x4),4,112
16384,16384,1,500,6.407245,0.000145,6.406663,21789100,strong_scaling_1n_1mpi_112omp,n/a,1,112,1,1,112
16384,16384,64,500,0.484638,0.067457,0.437217,21789112,strong_scaling_8n_64mpi_14omp,n/a,8,14,8(x8),64,14
16384,16384,32,500,1.821080,0.505777,1.650799,21789111,strong_scaling_4n_32mpi_14omp,n/a,4,14,8(x4),32,14
16384,16384,16,500,3.013536,0.130024,2.908300,21789110,strong_scaling_2n_16mpi_14omp,n/a,2,14,8(x2),16,14
16384,16384,8,500,6.192412,0.222052,6.027879,21789109,strong_scaling_1n_8mpi_14omp,n/a,1,14,8,8,14
16384,16384,128,500,3.233419,3.088179,1.600747,21789113,strong_scaling_16n_128mpi_14omp,n/a,16,14,8(x16),128,14
16384,16384,128,500,0.208673,0.070946,0.164195,21789133,strong_scaling_16n_128mpi_14omp,n/a,16,14,8(x16),128,14
16384,16384,64,500,0.483898,0.073766,0.436910,21789132,strong_scaling_8n_64mpi_14omp,n/a,8,14,8(x8),64,14
16384,16384,32,500,1.450902,0.134967,1.342609,21789131,strong_scaling_4n_32mpi_14omp,n/a,4,14,8(x4),32,14
16384,16384,16,500,3.087943,0.204298,2.907172,21789130,strong_scaling_2n_16mpi_14omp,n/a,2,14,8(x2),16,14
16384,16384,8,500,6.186647,0.209945,6.024517,21789129,strong_scaling_1n_8mpi_14omp,n/a,1,14,8,8,14
16384,16384,16,500,0.395244,0.208469,0.198962,21789150,strong_scaling_16n_16mpi_112omp,n/a,16,112,1(x16),16,112
16384,16384,8,500,0.825760,0.340350,0.493145,21789149,strong_scaling_8n_8mpi_112omp,n/a,8,112,1(x8),8,112
16384,16384,4,500,1.649790,0.264177,1.396192,21789148,strong_scaling_4n_4mpi_112omp,n/a,4,112,1(x4),4,112
16384,16384,1,500,6.416462,0.000128,6.415888,21789146,strong_scaling_1n_1mpi_112omp,n/a,1,112,1,1,112
16384,16384,2,500,3.537626,0.542495,2.997192,21789147,strong_scaling_2n_2mpi_112omp,n/a,2,112,1(x2),2,112
