size_x,size_y,Ntasks,Niterations,total_time,comm_time,comp_time,slurm_job_id,slurm_job_name,partition,nodes,cpus_per_task,tasks_per_node,ntasks,omp_threads
10000,10000,1,750,4.000604,0.000025,4.000140,21034805,omp_scaling_112t,n/a,1,112,1,1,112
10000,10000,1,750,5.117793,0.000040,5.117500,21034804,omp_scaling_84t,n/a,1,84,1,1,84
10000,10000,1,750,7.402617,0.000088,7.402112,21034803,omp_scaling_56t,n/a,1,56,1,1,56
10000,10000,1,750,12.426721,0.000077,12.426402,21034802,omp_scaling_32t,n/a,1,32,1,1,32
10000,10000,1,750,20.200966,0.000024,20.200545,21034800,omp_scaling_8t,n/a,1,8,1,1,8
10000,10000,1,750,31.349924,0.000045,31.349672,21034799,omp_scaling_4t,n/a,1,4,1,1,4
10000,10000,1,750,15.383142,0.000041,15.382882,21034801,omp_scaling_16t,n/a,1,16,1,1,16
10000,10000,1,750,57.677471,0.000048,57.677190,21034797,omp_scaling_2t,n/a,1,2,1,1,2
10000,10000,1,750,112.011708,0.000047,112.011386,21034796,omp_scaling_1t,n/a,1,1,1,1,1
16384,16384,1,750,11.243004,0.000129,11.242373,21078240,omp_scaling_112t,n/a,1,112,1,1,112
16384,16384,1,750,14.205223,0.000089,14.204791,21078239,omp_scaling_84t,n/a,1,84,1,1,84
16384,16384,1,750,20.192418,0.000022,20.192098,21078238,omp_scaling_56t,n/a,1,56,1,1,56
16384,16384,1,750,33.763845,0.000067,33.763525,21078237,omp_scaling_32t,n/a,1,32,1,1,32
16384,16384,1,750,41.734604,0.000068,41.734334,21078236,omp_scaling_16t,n/a,1,16,1,1,16
16384,16384,1,750,53.179985,0.000034,53.179720,21078235,omp_scaling_8t,n/a,1,8,1,1,8
16384,16384,1,750,83.428145,0.000036,83.427798,21078234,omp_scaling_4t,n/a,1,4,1,1,4
16384,16384,1,750,163.074527,0.000057,163.074229,21078233,omp_scaling_2t,n/a,1,2,1,1,2
16384,16384,1,750,303.218955,0.000031,303.218755,21078232,omp_scaling_1t,n/a,1,1,1,1,1
16384,16384,1,500,8.030702,0.000018,8.030489,21078479,omp_scaling_112t,n/a,1,112,1,1,112
16384,16384,1,500,9.942671,0.000022,9.942440,21078478,omp_scaling_84t,n/a,1,84,1,1,84
16384,16384,1,500,13.880412,0.000014,13.880149,21078477,omp_scaling_56t,n/a,1,56,1,1,56
16384,16384,1,500,22.879041,0.000076,22.878773,21078476,omp_scaling_32t,n/a,1,32,1,1,32
16384,16384,1,500,28.084505,0.000016,28.084348,21078475,omp_scaling_16t,n/a,1,16,1,1,16
16384,16384,1,500,35.419037,0.000013,35.418871,21078474,omp_scaling_8t,n/a,1,8,1,1,8
16384,16384,1,500,55.388040,0.000034,55.387827,21078472,omp_scaling_4t,n/a,1,4,1,1,4
16384,16384,1,500,119.042358,0.000152,119.042012,21078471,omp_scaling_2t,n/a,1,2,1,1,2
16384,16384,1,500,201.271654,0.000032,201.271451,21078470,omp_scaling_1t,n/a,1,1,1,1,1
16384,16384,64,500,47.624333,46.638271,0.985773,21083474,strong_scaling_8n_64mpi_14omp,n/a,8,14,8(x8),64,14
16384,16384,128,500,46.861774,46.424617,0.436916,21083475,strong_scaling_16n_128mpi_14omp,n/a,16,14,8(x16),128,14
16384,16384,16,500,58.838042,53.657297,5.180442,21083471,strong_scaling_2n_16mpi_14omp,n/a,2,14,8(x2),16,14
16384,16384,32,500,51.475388,48.981196,2.493891,21083473,strong_scaling_4n_32mpi_14omp,n/a,4,14,8(x4),32,14
16384,16384,8,500,120.558998,80.935673,39.622872,21083468,strong_scaling_1n_8mpi_14omp,n/a,1,14,8,8,14
16384,16384,128,500,46.702563,46.256566,0.445753,21083813,strong_scaling_16n_128mpi_14omp,n/a,16,14,8(x16),128,14
16384,16384,64,500,47.113339,46.161652,0.951394,21083812,strong_scaling_8n_64mpi_14omp,n/a,8,14,8(x8),64,14
16384,16384,32,500,50.865993,48.417117,2.448577,21083811,strong_scaling_4n_32mpi_14omp,n/a,4,14,8(x4),32,14
16384,16384,16,500,59.552423,54.415457,5.136671,21083810,strong_scaling_2n_16mpi_14omp,n/a,2,14,8(x2),16,14
16384,16384,8,500,119.160307,79.487017,39.672831,21083809,strong_scaling_1n_8mpi_14omp,n/a,1,14,8,8,14
16384,16384,64,500,47.675437,46.694234,0.980911,21085184,strong_scaling_8n_64mpi_14omp,n/a,8,14,8(x8),64,14
16384,16384,128,500,46.332108,45.895410,0.436456,21085185,strong_scaling_16n_128mpi_14omp,n/a,16,14,8(x16),128,14
16384,16384,32,500,52.636193,49.928951,2.706943,21085182,strong_scaling_4n_32mpi_14omp,n/a,4,14,8(x4),32,14
16384,16384,16,500,58.201919,53.208480,4.993148,21085181,strong_scaling_2n_16mpi_14omp,n/a,2,14,8(x2),16,14
16384,16384,32,500,11.205436,10.688446,0.516637,21085909,strong_scaling_16n_32mpi_56omp,n/a,16,56,2(x16),32,56
16384,16384,16,500,11.375088,10.432608,0.942105,21085908,strong_scaling_8n_16mpi_56omp,n/a,8,56,2(x8),16,56
16384,16384,4,500,11.810252,8.046797,3.763091,21085905,strong_scaling_2n_4mpi_56omp,n/a,2,56,2(x2),4,56
16384,16384,8,500,11.491285,9.566983,1.923908,21085907,strong_scaling_4n_8mpi_56omp,n/a,4,56,2(x4),8,56
16384,16384,2,500,23.048574,10.896190,12.151730,21085904,strong_scaling_1n_2mpi_56omp,n/a,1,56,2,2,56
16384,16384,8,500,11.431870,9.520423,1.911039,21086191,strong_scaling_4n_8mpi_56omp,n/a,4,56,2(x4),8,56
16384,16384,4,500,11.828419,8.042242,3.785779,21086190,strong_scaling_2n_4mpi_56omp,n/a,2,56,2(x2),4,56
16384,16384,32,500,11.274128,10.757593,0.516215,21086193,strong_scaling_16n_32mpi_56omp,n/a,16,56,2(x16),32,56
16384,16384,16,500,11.540707,10.567030,0.973266,21086192,strong_scaling_8n_16mpi_56omp,n/a,8,56,2(x8),16,56
16384,16384,2,500,22.994441,10.965838,12.028029,21086189,strong_scaling_1n_2mpi_56omp,n/a,1,56,2,2,56
16384,16384,8,500,1.848447,0.216281,1.631922,21298878,strong_scaling_4n_8mpi_56omp,n/a,4,56,2(x4),8,56
16384,16384,4,500,3.570556,0.251512,3.318808,21298877,strong_scaling_2n_4mpi_56omp,n/a,2,56,2(x2),4,56
16384,16384,2,500,7.193045,0.442071,6.750662,21298876,strong_scaling_1n_2mpi_56omp,n/a,1,56,2,2,56
16384,16384,64,500,0.510266,0.073119,0.436970,21298967,strong_scaling_8n_64mpi_14omp,n/a,8,14,8(x8),64,14
16384,16384,32,500,1.479152,0.126168,1.352806,21298966,strong_scaling_4n_32mpi_14omp,n/a,4,14,8(x4),32,14
16384,16384,16,500,3.140577,0.177022,2.963375,21298965,strong_scaling_2n_16mpi_14omp,n/a,2,14,8(x2),16,14
16384,16384,128,500,0.222496,0.075320,0.147089,21298968,strong_scaling_16n_128mpi_14omp,n/a,16,14,8(x16),128,14
16384,16384,8,500,6.360850,0.212759,6.147847,21298964,strong_scaling_1n_8mpi_14omp,n/a,1,14,8,8,14
30000,30000,64,500,2.601195,0.206931,2.394093,21299069,strong_scaling_8n_64mpi_14omp,n/a,8,14,8(x8),64,14
30000,30000,128,500,1.223176,0.137225,1.085772,21299071,strong_scaling_16n_128mpi_14omp,n/a,16,14,8(x16),128,14
30000,30000,32,500,5.309977,0.292386,5.017409,21299068,strong_scaling_4n_32mpi_14omp,n/a,4,14,8(x4),32,14
30000,30000,16,500,10.766175,0.350564,10.415403,21299067,strong_scaling_2n_16mpi_14omp,n/a,2,14,8(x2),16,14
30000,30000,8,500,21.560566,0.559988,21.000324,21299066,strong_scaling_1n_8mpi_14omp,n/a,1,14,8,8,14
65536,65536,128,500,6.521344,0.367000,6.154128,21299102,strong_scaling_16n_128mpi_14omp,n/a,16,14,8(x16),128,14
65536,65536,64,500,12.960193,0.408615,12.551302,21299101,strong_scaling_8n_64mpi_14omp,n/a,8,14,8(x8),64,14
65536,65536,32,500,26.042292,0.825986,25.215992,21299100,strong_scaling_4n_32mpi_14omp,n/a,4,14,8(x4),32,14
65536,65536,16,500,51.767550,1.191293,50.575936,21299099,strong_scaling_2n_16mpi_14omp,n/a,2,14,8(x2),16,14
65536,65536,8,500,102.898335,1.727432,101.170536,21299098,strong_scaling_1n_8mpi_14omp,n/a,1,14,8,8,14
