size_x,size_y,Ntasks,Niterations,total_time,comm_time,comp_time,slurm_job_id,slurm_job_name,partition,nodes,cpus_per_task,tasks_per_node,ntasks,omp_threads
32768,32768,1,500,31.569428,0.000048,31.569185,21299739,omp_scaling_112t,n/a,1,112,1,1,112
32768,32768,1,500,39.794108,0.000022,39.793875,21299738,omp_scaling_84t,n/a,1,84,1,1,84
32768,32768,1,500,51.731133,0.000072,51.730850,21299737,omp_scaling_56t,n/a,1,56,1,1,56
32768,32768,1,500,88.166719,0.000055,88.166475,21299736,omp_scaling_32t,n/a,1,32,1,1,32
32768,32768,1,500,173.643830,0.000063,173.643582,21299735,omp_scaling_16t,n/a,1,16,1,1,16
32768,32768,1,500,223.577174,0.001302,223.571843,21299734,omp_scaling_8t,n/a,1,8,1,1,8
32768,32768,1,500,276.840048,0.000095,276.839764,21299733,omp_scaling_4t,n/a,1,4,1,1,4
32768,32768,1,500,435.316747,0.000094,435.316397,21299732,omp_scaling_2t,n/a,1,2,1,1,2
32768,32768,1,500,31.803082,0.000036,31.802718,21299852,omp_scaling_112t,n/a,1,112,1,1,112
32768,32768,1,500,40.225312,0.000053,40.224928,21299851,omp_scaling_84t,n/a,1,84,1,1,84
32768,32768,1,500,51.955772,0.000091,51.955471,21299850,omp_scaling_56t,n/a,1,56,1,1,56
32768,32768,1,500,88.344219,0.000033,88.343981,21299849,omp_scaling_32t,n/a,1,32,1,1,32
32768,32768,1,500,173.771961,0.000050,173.771725,21299848,omp_scaling_16t,n/a,1,16,1,1,16
32768,32768,1,500,217.945596,0.000049,217.945362,21299847,omp_scaling_8t,n/a,1,8,1,1,8
32768,32768,1,500,278.115222,0.000091,278.114931,21299846,omp_scaling_4t,n/a,1,4,1,1,4
32768,32768,1,500,426.052037,0.000065,426.051785,21299845,omp_scaling_2t,n/a,1,2,1,1,2
32768,32768,1,500,786.830284,0.000069,786.829979,21299844,omp_scaling_1t,n/a,1,1,1,1,1
