size_x,size_y,Ntasks,Niterations,total_time,comm_time,comp_time,slurm_job_id,slurm_job_name,partition,nodes,cpus_per_task,tasks_per_node,ntasks
1024,1024,4,500,3.632366,1.871399,1.760839,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1024,1024,4,500,3.444092,1.922641,1.521341,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1024,1024,4,500,3.430584,1.755769,1.674726,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1024,1024,4,500,3.413139,1.841045,1.572006,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1024,1024,4,500,18.675016,10.190374,6.236278,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3
512,512,4,250,5.993013,1.967604,2.540646,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3
512,512,4,250,6.520980,1.355699,3.774569,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3
512,512,4,250,5.253418,1.332096,2.851286,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3
256,256,1,100,0.466666,0.000047,0.225777,n/a,n/a,n/a,n/a,n/a,n/a,n/a,(null)
256,256,1,300,1.318893,0.000127,0.406358,n/a,n/a,n/a,n/a,n/a,n/a,n/a,(null)
256,256,1,300,2.858985,0.000180,1.803474,n/a,n/a,n/a,n/a,n/a,n/a,n/a,(null)
256,256,1,300,1.537553,0.000171,0.480701,n/a,n/a,n/a,n/a,n/a,n/a,n/a,(null)
256,256,1,300,1.488759,0.000151,0.554034,n/a,n/a,n/a,n/a,n/a,n/a,n/a,(null)
256,256,1,300,1.505096,0.000144,0.361492,n/a,n/a,n/a,n/a,n/a,n/a,n/a,(null)
256,256,1,300,1.316887,0.000127,0.445175,n/a,n/a,n/a,n/a,n/a,n/a,n/a,(null)
256,256,1,300,1.591747,0.000129,0.719851,n/a,n/a,n/a,n/a,n/a,n/a,n/a,(null)
256,256,1,300,2.251630,0.000161,1.430228,n/a,n/a,n/a,n/a,n/a,n/a,n/a,(null)
256,256,1,300,2.497914,0.000146,1.614456,n/a,n/a,n/a,n/a,n/a,n/a,n/a,(null)
256,256,1,300,3.911925,0.000359,1.907347,n/a,n/a,n/a,n/a,n/a,n/a,n/a,(null)
256,256,1,300,4.741620,0.000408,2.531116,n/a,n/a,n/a,n/a,n/a,n/a,n/a,(null)
256,256,1,300,4.003153,0.000540,2.744545,n/a,n/a,n/a,n/a,n/a,n/a,n/a,(null)
256,256,1,300,4.091699,0.000925,1.813842,n/a,n/a,n/a,n/a,n/a,n/a,n/a,(null)
